OBJECTID,CATAREA,CUM_AREA,nzsegment,LENGTHDOWN,Headwater,Hydseq,StreamOrde,euclid_dis,upElev,downElev,upcoordX,downcoordX,downcoordY,upcoordY,sinuosity,nzreach_re,headw_dist,segslpmean,LID,reachtype,FROM_NODE,TO_NODE,Shape_Leng,Shape_Le_1,FLOWDIR,REGC2017,REGC2017_N,AREA_SQ_KM,LAND_SQ_KM,BioR__OBJE,BioR__BioR,BioR__Hect,BioR__Glob,BioR__Bi_1,BioR__SHAP,BioR__SH_1,EcoD_OBJEC,EcoD_ECOLO,EcoD_ECO_1,EcoD_ECO_2,EcoD_SHAPE,EcoD_SHA_1,name_2,RID,NAME,REG_COUNCL,CLASS,SUBCLASS,NZTM_N,NZTM_E,WIDTH_OF_M,SHLN_PERIM,SURFC_AREA,INTRTDL_AR,MEAN_DEPTH,TOTAL_VOL,TDAL_RANGE,TDAL_PRISM,CATCHMT_AR,R_INFL_VOL,n,distance,feature_x,feature_y,nearest_x,nearest_y
"364282",176260.044227377948118,2668640768.000000000000000,"13095559",0.000000000000000,"0","368010","7",375.299880095999981,15.234476089499999,2.529306650160000,1622851.711899999994785,1623226.564800000051036,5249021.849499999545515,5249006.899699999950826,1.048450559700000,"13024355","153901",1.938916014570000,"0","0","372112","372113",393.483369342999993,393.483369343352365,"1","13",Canterbury Region,56773.86937420000,44507.60389690000,"413",East Coast South Island,"1108122",{0F961E84-FFF0-4F16-9BBC-422F3620ED46},East Coast South Island,1345807.113818614045158,11081218286.227926254272461,"509","52.05",Cheviot,Lowry,113255.635464593025972,-521316554.032854020595551,Hurunui River,"192",Hurunui River,ECAN,3. Hāpua-type lagoon,3B. Medium,5249749.930999999865890,1623841.196999999927357,120.000000000000000,6399.000000000000000,178552.000000000000000,0.000000000000000,2.000000000000000,267828.000000000000000,0.000000000000000,0.000000000000000,2678.000000000000000,5031291.000000000000000,"1",952.825086948397939,1623226.564800000051036,5249021.849499999545515,1623841.197082519531250,5249749.931091308593750
"376293",39610.216913881959044,594436864.000000000000000,"12107597",0.000000000000000,"0","394751","6",21.213203435600001,1.591019153590000,1.179487824440000,1376688.089799999957904,1376673.090599999995902,5222619.084499999880791,5222604.079900000244379,1.000126682870000,"12039832","65257",1.111386098340000,"0","0","384233","384234",21.215890784999999,21.215890785020513,"1","12",West Coast Region,36339.59156420001,23243.81176000000,"418",West Coast South Island,"1311180",{5478D1F7-9DE7-4D55-8CA7-24D2229D99EC},West Coast South Island,1279617.339320387924090,13111801767.683631896972656,"520","50.03",Harihari,Whataroa,215744.296874542662408,-930717759.361467719078064,Whataroa River,"193",Whataroa River,WCRC,6. Tidal river mouth,6C. Barrier beach enclosed,5222524.557000000029802,1376733.499000000068918,37.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,839585.000000000000000,"1",112.181143166561782,1376673.090599999995902,5222619.084499999880791,1376733.499084472656250,5222524.557128906250000
"376506",27878.906563148262649,725206079.999999880790710,"13107800",0.000000000000000,"0","376134","6",109.201648339000002,2.461171865460000,1.683045268060000,1583504.784999999916181,1583609.746800000080839,5222200.720300000160933,5222170.737099999561906,1.074910108860000,"13033329","80313",0.408259692414000,"49007","2","384452","384453",117.381955704999996,117.381955704514382,"1","13",Canterbury Region,56773.86937420000,44507.60389690000,"413",East Coast South Island,"1108122",{0F961E84-FFF0-4F16-9BBC-422F3620ED46},East Coast South Island,1345807.113818614045158,11081218286.227926254272461,"526","56.02",Low Plains,Canterbury Plains,490931.608240127097815,-6170979530.094689369201660,Waipara River,"194",Waipara River,ECAN,3. Hāpua-type lagoon,3C. Small,5222092.600999999791384,1583549.022000000113621,0.000000000000000,5386.000000000000000,114676.000000000000000,0.000000000000000,2.000000000000000,172014.000000000000000,0.000000000000000,0.000000000000000,729.000000000000000,839902.000000000116415,"1",124.005067695346142,1583609.746800000080839,5222200.720300000160933,1583549.022094726562500,5222092.601074219681323
"395457",112587.065703769490938,409426272.000000000000000,"12126554",0.000000000000000,"0","409523","6",489.744831519000002,2.844790935520000,1.457584261890000,1336592.091699999989942,1336216.918800000101328,5179623.684799999929965,5179938.773799998685718,1.057906602180000,"12045489","46894",0.162290438724000,"0","0","403278","403526",518.104290647999960,518.104290648222445,"1","12",West Coast Region,36339.59156420001,23243.81176000000,"418",West Coast South Island,"1311180",{5478D1F7-9DE7-4D55-8CA7-24D2229D99EC},West Coast South Island,1279617.339320387924090,13111801767.683631896972656,"538","50.07",Karangarua,Whataroa,110198.543945011086180,-311058568.908679604530334,Karangarua River,"195",Karangarua River,WCRC,3. Hāpua-type lagoon,3D. Intermittent,5179878.120000001043081,1336746.288000000175089,27.000000000000000,-9999.000000000000000,-9999.000000000000000,0.000000000000000,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,408.000000000000000,577747.000000000000000,"1",587.340762697610444,1336216.918800000101328,5179623.684799999929965,1336746.288085937500000,5179878.120117187500000
"403957",674837.630655113141984,358280768.000000000000000,"12134860",0.000000000000000,"0","416133","6",826.000000000000000,20.036186218299999,5.370660305020000,1312369.556199999991804,1312369.600899999961257,5162787.576700000092387,5161962.126000000163913,1.059544033760000,"12047362","43916",1.017172834960000,"0","0","412159","412160",875.183371886000032,875.183371885692850,"1","12",West Coast Region,36339.59156420001,23243.81176000000,"418",West Coast South Island,"1311180",{5478D1F7-9DE7-4D55-8CA7-24D2229D99EC},West Coast South Island,1279617.339320387924090,13111801767.683631896972656,"545","51.01",Paringa,Aspiring,86881.668520924460609,-321485858.667093336582184,Paringa River,"196",Paringa River,WCRC,5. Freshwater river mouth,5C. Barrier beach enclosed,5163269.570000000298023,1312026.274999999906868,136.000000000000000,12256.000000000000000,448264.999999999941792,6.000000000000000,3.000000000000000,-9999.000000000000000,2.200000000000000,972465.000000000000000,364.000000000000000,3679060.000000000000000,"1",591.768773184546035,1312369.600899999961257,5162787.576700000092387,1312026.275085449218750,5163269.570129394531250
"416812",27943.584510236763890,1356296576.000000000000000,"12148148",0.000000000000000,"0","430328","6",63.639610306800002,1.842958211900000,1.416670680050000,1280998.271599999861792,1280953.236100000096485,5138562.374599998816848,5138517.339900000020862,1.000780000030000,"12050808","112768",0.383788017486000,"0","0","425231","425232",63.689249204699998,63.689249204652718,"1","12",West Coast Region,36339.59156420001,23243.81176000000,"418",West Coast South Island,"1311180",{5478D1F7-9DE7-4D55-8CA7-24D2229D99EC},West Coast South Island,1279617.339320387924090,13111801767.683631896972656,"551","51.04",Haast,Aspiring,132677.403446427371819,-330853094.063196957111359,Haast River,"197",Haast River,WCRC,5. Freshwater river mouth,5C. Barrier beach enclosed,5138469.300999999977648,1281378.431000000098720,48.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,1355.000000000000000,1917863.000000000000000,"1",435.262517985023749,1280953.236100000096485,5138562.374599998816848,1281378.431091308593750,5138469.301086425781250
"420565",164985.965711564494995,469704384.000000000000000,"12151763",0.000000000000000,"0","432637","6",604.757802760999880,1.560789108280000,1.338849782940000,1270369.694900000235066,1269874.276800000108778,5130215.259800000116229,5130560.575899999588728,1.076289613950000,"12051931","50524",0.021026914523300,"0","0","428834","429021",650.894542064999882,650.894542064865846,"1","12",West Coast Region,36339.59156420001,23243.81176000000,"418",West Coast South Island,"1311180",{5478D1F7-9DE7-4D55-8CA7-24D2229D99EC},West Coast South Island,1279617.339320387924090,13111801767.683631896972656,"551","51.04",Haast,Aspiring,132677.403446427371819,-330853094.063196957111359,Okuru River,"198",Okuru River,WCRC,6. Tidal river mouth,6B. Spit enclosed,5130072.072999999858439,1269777.664000000106171,146.000000000000000,30458.000000000000000,1679548.000000000232831,25.000000000000000,3.000000000000000,4386557.000000000000000,2.100000000000000,3128239.000000000000000,514.000000000000000,5265610.999999999068677,"1",172.732262619401524,1269874.276800000108778,5130215.259800000116229,1269777.664123535156250,5130072.073120118118823
"424207",729521.337254866492003,1596620672.000000000000000,"13155682",0.000000000000000,"0","423991","6",638.937399124999956,15.495271682700000,0.000000000000000,1503919.859299999894574,1504414.834500000113621,5121532.515899999998510,5121937.282599999569356,1.240879023050000,"13061436","127827",1.389244073820000,"0","0","432685","432686",792.844015618999947,792.844015618759954,"1","13",Canterbury Region,56773.86937420000,44507.60389690000,"413",East Coast South Island,"1108122",{0F961E84-FFF0-4F16-9BBC-422F3620ED46},East Coast South Island,1345807.113818614045158,11081218286.227926254272461,"526","56.02",Low Plains,Canterbury Plains,490931.608240127097815,-6170979530.094689369201660,Ashburton River/Hakatere,"199",Ashburton River,ECAN,3. Hāpua-type lagoon,3B. Medium,5121583.540000000037253,1504508.195000000298023,1.000000000000000,2015.000000000000000,42258.000000000000000,0.000000000000000,2.000000000000000,63387.000000000000000,0.000000000000000,0.000000000000000,1655.000000000000000,3103659.000000000000000,"1",106.393966541940770,1504414.834500000113621,5121532.515899999998510,1504508.195129394531250,5121583.540100098587573
"424267",7213.545398255212604,530762464.000000000000000,"12155562",0.000000000000000,"0","447763","6",48.383881613600003,2.095691442490000,1.689691424370000,1262052.621000000042841,1262067.631999999983236,5122107.532899999991059,5122062.489599999971688,1.316543862790000,"12053040","67238",0.480770643106000,"0","0","432768","432769",63.699502396299998,63.699502396288423,"1","12",West Coast Region,36339.59156420001,23243.81176000000,"418",West Coast South Island,"1311180",{5478D1F7-9DE7-4D55-8CA7-24D2229D99EC},West Coast South Island,1279617.339320387924090,13111801767.683631896972656,"551","51.04",Haast,Aspiring,132677.403446427371819,-330853094.063196957111359,Waiatoto River,"200",Waiatoto River,WCRC,6. Tidal river mouth,6B. Spit enclosed,5122476.798000000417233,1262443.495000000111759,145.000000000000000,24314.000000000000000,1379781.000000000000000,12.000000000000000,3.000000000000000,3946666.000000000000000,2.100000000000000,2732735.000000000000000,536.000000000000000,6326373.000000000000000,"1",526.905938113806769,1262067.631999999983236,5122107.532899999991059,1262443.495117187500000,5122476.798095703125000
"425478",25250.677554058071109,933253824.000000000000000,"12156721",0.000000000000000,"0","455799","6",105.000000000000000,1.572405099870000,0.390696227551000,1253224.203699999954551,1253224.197099999990314,5119734.648999999277294,5119629.543399999849498,1.001005716260000,"12053421","81170",0.644800922067000,"0","0","433996","433997",105.105600207999998,105.105600207579258,"1","12",West Coast Region,36339.59156420001,23243.81176000000,"418",West Coast South Island,"1311180",{5478D1F7-9DE7-4D55-8CA7-24D2229D99EC},West Coast South Island,1279617.339320387924090,13111801767.683631896972656,"551","51.04",Haast,Aspiring,132677.403446427371819,-330853094.063196957111359,Arawhata River,"201",Arawata River,WCRC,5. Freshwater river mouth,5C. Barrier beach enclosed,5119579.297000000253320,1253197.394000000087544,88.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,930.000000000000000,1316732.000000000232831,"1",157.647097913938751,1253224.197099999990314,5119734.648999999277294,1253197.394104003906250,5119579.297119140625000
"432343",41384.616000228168559,1810245888.000000000000000,"13163668",0.000000000000000,"0","431940","6",76.485292703900001,2.042974948880000,1.766308903690000,1480859.652999999932945,1480934.644099999917671,5106199.032100000418723,5106214.004300000146031,1.061617799700000,"13063688","145231",0.207252044082000,"0","0","440878","440879",81.198148149999994,81.198148150015243,"1","13",Canterbury Region,56773.86937420000,44507.60389690000,"413",East Coast South Island,"1108122",{0F961E84-FFF0-4F16-9BBC-422F3620ED46},East Coast South Island,1345807.113818614045158,11081218286.227926254272461,"526","56.02",Low Plains,Canterbury Plains,490931.608240127097815,-6170979530.094689369201660,Rangitata River,"202",Rangitata River,ECAN,3. Hāpua-type lagoon,3B. Medium,5106863.952999999746680,1481787.318999999901280,73.000000000000000,3086.000000000000000,79040.000000000000000,0.000000000000000,2.000000000000000,118560.000000000000000,0.000000000000000,0.000000000000000,1715.000000000000000,5567508.000000000000000,"1",1081.283779182151193,1480934.644099999917671,5106199.032100000418723,1481787.319091796875000,5106863.953125000000000
"435660",93570.500626180844847,715338368.000000000000000,"13166978",0.000000000000000,"0","435238","6",106.066017177999996,2.309972286220000,1.630431652070000,1472823.192300000227988,1472898.207799999974668,5099927.310700000263751,5100002.271599999628961,0.999842732919000,"13064483","94958",0.367076021139000,"0","0","444166","444194",106.049336484999998,106.049336485085206,"1","13",Canterbury Region,56773.86937420000,44507.60389690000,"413",East Coast South Island,"1108122",{0F961E84-FFF0-4F16-9BBC-422F3620ED46},East Coast South Island,1345807.113818614045158,11081218286.227926254272461,"526","56.02",Low Plains,Canterbury Plains,490931.608240127097815,-6170979530.094689369201660,Orari River,"203",no-match,ECAN,5. Freshwater river mouth,3C. Small,5095835.847000000067055,1468750.242000000085682,58.000000000000000,5868.000000000000000,160448.000000000000000,0.000000000000000,2.000000000000000,240672.000000000000000,0.000000000000000,0.000000000000000,2373.000000000000000,3003662.000000000000000,"1",5826.293295244908222,1472898.207799999974668,5099927.310700000263751,1468750.242126464843750,5095835.847106933593750
"448038",503695.278525303117931,1129774464.000000000000000,"15178863",5257.970903005848413,"1","480246","6",682.097500362000005,5.170389652250000,7.136574745180000,1201626.395599999930710,1201716.699000000022352,5077749.701399999670684,5078425.684500000439584,1.045804181870000,"15000555","0",0.165157966082000,"0","0","456679","456680",713.340418322999881,713.340418323423364,"1","15",Southland Region,55238.06039180000,31194.94615960000,"419",Fiordland,"1024660",{54DD06BD-32EF-4F82-AB23-AF3C5EA17F41},Fiordland,2340525.543295336421579,10246596908.780487060546875,"570","72.01",Darran,Fiord,245586.815830012987135,-1808933148.266334772109985,Hollyford River/Whakatipu Kā Tuka,"204",Hollyford River,ES,6. Tidal river mouth,6B. Spit enclosed,5078642.152999999932945,1201486.352999999886379,173.000000000000000,19905.000000000000000,1592029.000000000000000,2.000000000000000,3.000000000000000,4667024.000000000000000,2.000000000000000,3103811.000000000000000,1109.000000000000000,12025913.000000000000000,"1",921.699101281508320,1201716.699000000022352,5077749.701399999670684,1201486.353088378906250,5078642.153076171875000
"451989",439102.405042730912101,538619648.000000000000000,"13183136",0.000000000000000,"0","454703","6",495.227220577000026,5.771703243260000,1.670960545540000,1457597.730599999893457,1457882.902199999894947,5070614.787700000219047,5071019.599200000055134,1.091547592090000,"13066928","60608",0.474428613467000,"0","0","460417","460611",540.564080160000003,540.564080159623927,"1","13",Canterbury Region,56773.86937420000,44507.60389690000,"412",Southern South Island,"2096441",{6EAC30B6-3803-4153-A00C-23192C1D31BD},Southern South Island,2604408.466082237660885,20964413635.013725280761719,"566","62.01",Makikihi,Wainono,142659.949625445384299,-497262148.959255456924438,Pareora River,"205",Pareora River,ECAN,3. Hāpua-type lagoon,3C. Small,5070724.652999999932945,1457879.850000000325963,3.000000000000000,-9999.000000000000000,-9999.000000000000000,0.000000000000000,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,539.000000000000000,763272.000000000000000,"1",109.907762282995975,1457882.902199999894947,5070614.787700000219047,1457879.850097656250000,5070724.653076171875000
"481651",19794.379132871599722,11918077952.000000000000000,"13212900",0.000000000000000,"0","491219","8",54.083269131999998,2.109335660930000,1.284538388250000,1453459.103899999987334,1453504.120099999941885,5021583.203200001269579,5021613.165000000968575,1.061663671070000,"13524507","257883",0.834344612272000,"0","0","490492","490505",57.350453534099998,57.350453534137671,"1","14",Otago Region,38514.28971780000,31208.62756660000,"412",Southern South Island,"2096441",{6EAC30B6-3803-4153-A00C-23192C1D31BD},Southern South Island,2604408.466082237660885,20964413635.013725280761719,"582","62.02",Glenavy,Wainono,107014.960709078033688,-513856271.288367986679077,Waitaki River,"206",Waitaki River,ECAN,3. Hāpua-type lagoon,3A. Large,5021965.768000000156462,1453712.652000000001863,127.000000000000000,9584.000000000000000,585709.000000000000000,0.000000000000000,2.000000000000000,1171417.000000000000000,0.000000000000000,0.000000000000000,11947.000000000000000,24903965.000000000000000,"1",435.708065760074760,1453504.120099999941885,5021583.203200001269579,1453712.652099609375000,5021965.768127441406250
