NAME_name2,Buffer_Size,Metrics,KdPAR,StreamOrde,CLASS,Interface,Kd490
Cascade/ Martyr River_Cascade River,1000,percentile10,0.12270806133747102,5,6. Tidal river mouth,Tidal river mouths,NA
Cascade/ Martyr River_Cascade River,1000,percentile90,0.5230534195899963,5,6. Tidal river mouth,Tidal river mouths,NA
Cascade/ Martyr River_Cascade River,1000,percentile95,0.7443341016769406,5,6. Tidal river mouth,Tidal river mouths,NA
Catlins River_Catlins River,1000,valid_days_pc,9.915091755683374,5,7. Tidal lagoon,Tidal river mouths,NA
Catlins River_Catlins River,1000,var,0.01444763589636213,5,7. Tidal lagoon,Tidal river mouths,NA
Catlins River_Catlins River,1000,mean,0.215869822153482,5,7. Tidal lagoon,Tidal river mouths,NA
Catlins River_Catlins River,1000,median,0.18336138129234314,5,7. Tidal lagoon,Tidal river mouths,NA
Catlins River_Catlins River,1000,percentile5,0.10336629711091519,5,7. Tidal lagoon,Tidal river mouths,NA
Catlins River_Catlins River,1000,percentile10,0.12218181043863297,5,7. Tidal lagoon,Tidal river mouths,NA
Catlins River_Catlins River,1000,percentile90,0.33785806298255927,5,7. Tidal lagoon,Tidal river mouths,NA
Catlins River_Catlins River,1000,percentile95,0.4535298228263854,5,7. Tidal lagoon,Tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,valid_days_pc,34.37414407011778,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,var,0.29311394536215185,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,mean,0.5386010930862323,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,median,0.2499701976776123,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,percentile5,0.12399981170892715,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,percentile10,0.13952545821666718,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,percentile90,1.3915111064910892,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clarence River_Waiau Toa / Clarence River,1000,percentile95,1.7263759851455687,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Clutha River_Clutha River,1000,valid_days_pc,21.72007669131745,8,6. Tidal river mouth,Tidal river mouths,NA
Clutha River_Clutha River,1000,var,0.17005929675695777,8,6. Tidal river mouth,Tidal river mouths,NA
Clutha River_Clutha River,1000,mean,0.4957489145527421,8,6. Tidal river mouth,Tidal river mouths,NA
Clutha River_Clutha River,1000,median,0.35509729385375977,8,6. Tidal river mouth,Tidal river mouths,NA
Clutha River_Clutha River,1000,percentile5,0.1782942086458206,8,6. Tidal river mouth,Tidal river mouths,NA
Clutha River_Clutha River,1000,percentile10,0.20173323154449463,8,6. Tidal river mouth,Tidal river mouths,NA
Clutha River_Clutha River,1000,percentile90,0.9235742270946503,8,6. Tidal river mouth,Tidal river mouths,NA
Clutha River_Clutha River,1000,percentile95,1.3934816598892208,8,6. Tidal river mouth,Tidal river mouths,NA
Conway River_Conway River,1000,valid_days_pc,30.703916735141057,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Conway River_Conway River,1000,var,0.07421427658475943,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Conway River_Conway River,1000,mean,0.3049222953471353,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Conway River_Conway River,1000,median,0.20705977082252505,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Conway River_Conway River,1000,percentile5,0.12730596959590912,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Conway River_Conway River,1000,percentile10,0.138555109500885,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Conway River_Conway River,1000,percentile90,0.6181550621986389,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Conway River_Conway River,1000,percentile95,0.9537758231163024,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,valid_days_pc,30.210901122980005,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,var,0.13423493481194873,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,mean,0.5217642841332086,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,median,0.3657336235046386,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,percentile5,0.17481662184000016,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,percentile10,0.19907048642635344,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,percentile90,1.0925722360610963,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Cook River_Cook River/Weheka,1000,percentile95,1.3048403739929193,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Doughboy Bay_Doughboy Creek,1000,valid_days_pc,0.6299643933168995,5,11. Coastal embayment,Fjords,NA
Doughboy Bay_Doughboy Creek,1000,var,0.33744237457747855,5,11. Coastal embayment,Fjords,NA
Doughboy Bay_Doughboy Creek,1000,mean,0.48503262193306634,5,11. Coastal embayment,Fjords,NA
Doughboy Bay_Doughboy Creek,1000,median,0.25958600640296936,5,11. Coastal embayment,Fjords,NA
Doughboy Bay_Doughboy Creek,1000,percentile5,0.13306600153446196,5,11. Coastal embayment,Fjords,NA
Doughboy Bay_Doughboy Creek,1000,percentile10,0.13964176177978516,5,11. Coastal embayment,Fjords,NA
Doughboy Bay_Doughboy Creek,1000,percentile90,0.9351593136787417,5,11. Coastal embayment,Fjords,NA
Doughboy Bay_Doughboy Creek,1000,percentile95,1.5235905647277823,5,11. Coastal embayment,Fjords,NA
Flaxbourne River_Flaxbourne River,1000,valid_days_pc,35.85319090660093,5,4. Beach stream,Non-tidal river mouths,NA
Flaxbourne River_Flaxbourne River,1000,var,0.0808228465315158,5,4. Beach stream,Non-tidal river mouths,NA
Flaxbourne River_Flaxbourne River,1000,mean,0.26713188486052797,5,4. Beach stream,Non-tidal river mouths,NA
Flaxbourne River_Flaxbourne River,1000,median,0.1665365993976593,5,4. Beach stream,Non-tidal river mouths,NA
Flaxbourne River_Flaxbourne River,1000,percentile5,0.09642489105463029,5,4. Beach stream,Non-tidal river mouths,NA
Flaxbourne River_Flaxbourne River,1000,percentile10,0.10776260048151018,5,4. Beach stream,Non-tidal river mouths,NA
Flaxbourne River_Flaxbourne River,1000,percentile90,0.5990477204322816,5,4. Beach stream,Non-tidal river mouths,NA
Flaxbourne River_Flaxbourne River,1000,percentile95,0.9660764098167418,5,4. Beach stream,Non-tidal river mouths,NA
Fox River_Fox River,1000,valid_days_pc,18.54286496850178,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Fox River_Fox River,1000,var,0.12502883527983885,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Fox River_Fox River,1000,mean,0.4816363342931739,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Fox River_Fox River,1000,median,0.3445415198802948,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Fox River_Fox River,1000,percentile5,0.19944988489151003,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Fox River_Fox River,1000,percentile10,0.21536144614219666,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Fox River_Fox River,1000,percentile90,0.9785074830055234,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Fox River_Fox River,1000,percentile95,1.2419381380081163,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,valid_days_pc,27.58148452478773,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,var,0.04734200988384138,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,mean,0.23277692641237938,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,median,0.17914089560508728,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,percentile5,0.09784737899899482,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,percentile10,0.10894721001386642,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,percentile90,0.37376731038093564,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Gorge River_Gorge River,1000,percentile95,0.5211456656455994,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,valid_days_pc,20.158860586140783,7,6. Tidal river mouth,Tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,var,0.2389494957747499,7,6. Tidal river mouth,Tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,mean,0.7511225001906733,7,6. Tidal river mouth,Tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,median,0.5768321007490158,7,6. Tidal river mouth,Tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,percentile5,0.24049104563891888,7,6. Tidal river mouth,Tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,percentile10,0.27440938353538513,7,6. Tidal river mouth,Tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,percentile90,1.412682592868805,7,6. Tidal river mouth,Tidal river mouths,NA
Grey River_Grey River/Mawheranui,1000,percentile95,1.6925183236598969,7,6. Tidal river mouth,Tidal river mouths,NA
Haast River_Haast River,1000,valid_days_pc,32.94987674609696,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Haast River_Haast River,1000,var,0.0722113762351994,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Haast River_Haast River,1000,mean,0.36537391419583626,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Haast River_Haast River,1000,median,0.2754547595977783,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Haast River_Haast River,1000,percentile5,0.1639356255531311,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Haast River_Haast River,1000,percentile10,0.18400471806526186,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Haast River_Haast River,1000,percentile90,0.6384638130664825,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Haast River_Haast River,1000,percentile95,0.9100369989871964,6,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,valid_days_pc,14.571350314982197,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,var,0.07081444528887786,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,mean,0.3544210004095072,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,median,0.2701311483979225,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,percentile5,0.14839636087417601,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,percentile10,0.171857051551342,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,percentile90,0.5952427089214327,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Heaphy River_Heaphy River,1000,percentile95,0.8457278281450271,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Hokitika River_Hokitika River,1000,valid_days_pc,29.389208436044918,6,6. Tidal river mouth,Tidal river mouths,NA
Hokitika River_Hokitika River,1000,var,0.15803303013567094,6,6. Tidal river mouth,Tidal river mouths,NA
Hokitika River_Hokitika River,1000,mean,0.5760569791105564,6,6. Tidal river mouth,Tidal river mouths,NA
Hokitika River_Hokitika River,1000,median,0.4203570783138275,6,6. Tidal river mouth,Tidal river mouths,NA
Hokitika River_Hokitika River,1000,percentile5,0.20217446982860565,6,6. Tidal river mouth,Tidal river mouths,NA
Hokitika River_Hokitika River,1000,percentile10,0.23054175078868866,6,6. Tidal river mouth,Tidal river mouths,NA
Hokitika River_Hokitika River,1000,percentile90,1.1245651245117192,6,6. Tidal river mouth,Tidal river mouths,NA
Hokitika River_Hokitika River,1000,percentile95,1.3714164257049557,6,6. Tidal river mouth,Tidal river mouths,NA
Hollyford River_Hollyford River/Whakatipu Kā Tuka,1000,valid_days_pc,18.57025472473295,6,6. Tidal river mouth,Tidal river mouths,NA
Hollyford River_Hollyford River/Whakatipu Kā Tuka,1000,var,0.0669838509749894,6,6. Tidal river mouth,Tidal river mouths,NA
Hollyford River_Hollyford River/Whakatipu Kā Tuka,1000,mean,0.30828172086042993,6,6. Tidal river mouth,Tidal river mouths,NA
Hollyford River_Hollyford River/Whakatipu Kā Tuka,1000,median,0.2363127693533897,6,6. Tidal river mouth,Tidal river mouths,NA
Hollyford River_Hollyford River/Whakatipu Kā Tuka,1000,percentile5,0.11808542441576719,6,6. Tidal river mouth,Tidal river mouths,NA
Hollyford River_Hollyford River/Whakatipu Kā Tuka,1000,percentile10,0.133840411901474,6,6. Tidal river mouth,Tidal river mouths,NA
Hollyford River_Hollyford River/Whakatipu Kā Tuka,1000,percentile90,0.5421246498823169,6,6. Tidal river mouth,Tidal river mouths,NA
